Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2024-01-01,02:00:00,Monday,SHEPPARD STATION,MUI,0.0,0.0,N,YU,5491
2024-01-01,02:08:00,Monday,DUNDAS STATION,MUPAA,4.0,10.0,N,YU,6051
2024-01-01,02:13:00,Monday,KENNEDY BD STATION,PUTDN,10.0,16.0,E,BD,5284
2024-01-01,02:22:00,Monday,BLOOR STATION,MUPAA,4.0,10.0,N,YU,5986
2024-01-01,02:25:00,Monday,ST CLAIR STATION,MUPAA,3.0,9.0,N,YU,6051
2024-01-01,02:27:00,Monday,WOODBINE STATION,EUDO,7.0,13.0,E,BD,5077
2024-01-01,02:28:00,Monday,FINCH STATION,MUIRS,0.0,0.0,S,YU,5561
2024-01-01,02:30:00,Monday,DAVISVILLE STATION,MUI,13.0,19.0,N,YU,6051
2024-01-01,02:36:00,Monday,FINCH STATION,MUI,24.0,30.0,S,YU,5931
2024-01-01,02:45:00,Monday,COLLEGE STATION,MUIR,12.0,18.0,N,YU,5816
2024-01-01,03:01:00,Monday,LAWRENCE WEST STATION,SUDP,3.0,9.0,N,YU,5726
2024-01-01,08:42:00,Monday,SHEPPARD WEST STATION,TUNIP,6.0,12.0,N,YU,6016
2024-01-01,09:09:00,Monday,ST CLAIR STATION,PUOPO,7.0,13.0,S,YU,5811
2024-01-01,09:17:00,Monday,SUMMERHILL STATION,PUOPO,6.0,12.0,S,YU,5811
2024-01-01,09:45:00,Monday,QUEEN STATION,SUO,10.0,16.0,S,YUS,5601
2024-01-01,11:39:00,Monday,OLD MILL STATION,TUSC,3.0,7.0,E,BD,5291
2024-01-01,12:11:00,Monday,SPADINA YUS STATION,MUIR,0.0,0.0,N,YU,5732
2024-01-01,14:06:00,Monday,YONGE BD STATION,MUIR,0.0,0.0,E,BD,5284
2024-01-01,14:15:00,Monday,BLOOR STATION,MUIR,12.0,16.0,N,YU,5631
2024-01-01,15:15:00,Monday,LANSDOWNE STATION,MUDD,7.0,11.0,E,BD,5164
2024-01-01,15:38:00,Monday,COLLEGE STATION,MUPAA,4.0,8.0,N,YU,6061
2024-01-01,16:20:00,Monday,ROSEDALE STATION,SUDP,7.0,11.0,S,YU,6086
2024-01-01,17:35:00,Monday,ROSEDALE STATION,MUPAA,0.0,0.0,N,YU,5751
2024-01-01,19:54:00,Monday,DONLANDS STATION,SUUT,0.0,0.0,W,BD,5016
2024-01-01,20:52:00,Monday,QUEEN STATION,MUPAA,7.0,13.0,S,YU,5861
2024-01-01,21:07:00,Monday,KENNEDY BD STATION,MUNOA,6.0,12.0,W,BD,5226
2024-01-01,22:13:00,Monday,ST GEORGE YUS STATION,SUDP,0.0,0.0,S,YU,6601
2024-01-01,00:44:00,Monday,VAUGHAN MC STATION,MUPAA,0.0,0.0,S,YU,6021
2024-01-01,00:48:00,Monday,BLOOR STATION,SUO,0.0,0.0,S,YU,5776
2024-01-01,01:10:00,Monday,VAUGHAN MC STATION,MUO,8.0,14.0,S,YU,5921
2024-01-01,01:38:00,Monday,ST GEORGE YUS STATION,SUUT,0.0,0.0,N,YU,5796
2024-01-02,06:02:00,Tuesday,SPADINA BD STATION,TUSC,0.0,0.0,E,BD,5176
2024-01-02,07:40:00,Tuesday,DAVISVILLE STATION,SUDP,6.0,9.0,S,YU,6076
2024-01-02,07:45:00,Tuesday,ST GEORGE YUS STATION,MUIR,0.0,0.0,N,YU,5416
2024-01-02,08:38:00,Tuesday,BLOOR STATION,PUOPO,0.0,0.0,N,YU,5811
2024-01-02,08:44:00,Tuesday,ST CLAIR STATION,PUOPO,6.0,9.0,N,YU,5811
2024-01-02,08:51:00,Tuesday,DUNDAS STATION,MUSAN,3.0,6.0,N,YU,5451
2024-01-02,09:12:00,Tuesday,BROADVIEW STATION,EUME,9.0,12.0,W,BD,5004
2024-01-02,09:33:00,Tuesday,FINCH WEST STATION,MUIR,4.0,7.0,N,YU,5851
2024-01-02,11:48:00,Tuesday,QUEEN'S PARK STATION,SUO,0.0,0.0,S,YU,5791
2024-01-02,13:12:00,Tuesday,DOWNSVIEW PARK STATION,EUDO,5.0,10.0,N,YU,5806
2024-01-02,13:42:00,Tuesday,ST GEORGE YUS STATION,SUO,3.0,8.0,S,YU,5961
2024-01-02,13:46:00,Tuesday,EGLINTON STATION,MUI,3.0,8.0,N,YU,5576
2024-01-02,13:55:00,Tuesday,KEELE STATION,MUPAA,0.0,0.0,E,BD,5021
2024-01-02,14:03:00,Tuesday,NORTH YORK CTR STATION,SUDP,8.0,13.0,S,YU,5481
2024-01-02,14:36:00,Tuesday,ST GEORGE YUS STATION,SUDP,21.0,26.0,S,YU,6051
2024-01-02,15:09:00,Tuesday,KIPLING STATION,MUIR,3.0,6.0,E,BD,5017
2024-01-02,15:12:00,Tuesday,MUSEUM STATION,SUDP,8.0,13.0,S,YU,5886
2024-01-02,15:43:00,Tuesday,KEELE STATION,TUNIP,3.0,6.0,W,BD,5037
2024-01-02,15:54:00,Tuesday,DAVISVILLE STATION,MUDD,6.0,11.0,N,YU,5441
2024-01-02,16:05:00,Tuesday,ISLINGTON STATION,TUSC,0.0,0.0,E,BD,5307
2024-01-02,16:31:00,Tuesday,DONLANDS STATION,MUSC,0.0,0.0,W,BD,5029
2024-01-02,16:32:00,Tuesday,PIONEER VILLAGE STATIO,SUO,0.0,0.0,S,YU,5551
2024-01-02,18:00:00,Tuesday,WOODBINE STATION,MUSC,0.0,0.0,E,BD,5098
2024-01-02,18:09:00,Tuesday,COLLEGE STATION,MUDD,10.0,13.0,S,YU,6001
2024-01-02,18:38:00,Tuesday,BLOOR STATION,SUO,16.0,20.0,S,YU,5881
2024-01-02,18:41:00,Tuesday,YONGE BD STATION,SUO,16.0,20.0,W,BD,5063
2024-01-02,19:01:00,Tuesday,BLOOR STATION,SUO,24.0,27.0,N,YU,5961
2024-01-02,19:01:00,Tuesday,YONGE BD STATION,SUO,24.0,29.0,E,BD,5044
2024-01-02,19:34:00,Tuesday,ROSEDALE STATION,SUO,20.0,23.0,S,YU,6016
2024-01-02,20:12:00,Tuesday,WARDEN STATION,TUO,3.0,8.0,W,BD,5212
2024-01-02,20:38:00,Tuesday,WELLESLEY STATION,MUIRS,0.0,0.0,N,YU,5561
2024-01-02,20:40:00,Tuesday,EGLINTON STATION,SUEAS,9.0,14.0,S,YU,6091
2024-01-02,23:33:00,Tuesday,WARDEN STATION,TUS,4.0,9.0,E,BD,5098
2024-01-02,00:08:00,Tuesday,KENNEDY BD STATION,SUDP,5.0,10.0,W,BD,5049
2024-01-02,01:59:00,Tuesday,JANE STATION,SUUT,0.0,0.0,W,BD,5004
2024-01-02,05:27:00,Tuesday,SHEPPARD-YONGE STATION,TUSC,0.0,0.0,E,SHP,6191
